NAME,BRAND,BARCODE,SKU CODE,PRODUCT CODE,HSN CODE,PLU NO,COST PRICE,MRP,SALE PRICE,WHOLESALE PRICE,SPECIAL PRICE,ONLINE PRICE,WEIGHT,QUANTITY,EXPIRED QUANTITY,NEAR EXPIRY QUANTITY,TAX,TYPE,CESS,CESS ON,CESS TYPE,TAX AMOUNT,TAXABLE VALUE,CESS TAX AMOUNT,ADDITIONAL CESS TAX AMOUNT,SUPPLIER,DISCOUNT(₹),DISCOUNT(%),ACTUAL MARGIN (₹),MARGIN ON CP (%),MARGIN ON SP (%),CATEGORY,SUB CATEGORY,INSTOCK VALUE
GONE MAD 12 GM PLPCH CHOCO STICK,GONE MAD,8992777311606,,,,PLU001,4,5,5,5,5,5,12 g,110,0,0,0,CGST + SGST,0,1,1,0,550,0,0,,0,0,1,25,20,SNACKS & BRANDED FOODS,CHOCOLATES & CANDIES,440
TIGER KRUNCH,,8901063155329,,,,PLU001,70,120,120,120,120,120,3 pkt,3,0,0,0,CGST + SGST,0,1,1,0,360,0,0,,0,0,50,71.429,41.667,Miscellaneous,Miscellaneous,210
Sugar 1kg,,L100022,,,,PLU002,39.5,45,40,40,40,40,1 pc,6,0,0,0,CGST + SGST,0,1,1,0,240,0,0,,5,11.111,0.5,1.266,1.25,Miscellaneous,Miscellaneous,250.5
FOGG [DEODRN] 120 ML TIN PARADISE FOR WOMEN,FOGG PARADISE,8908001158350,,,,PLU001,125,199,199,199,199,199,120 ml,1,0,0,0,CGST + SGST,0,1,1,0,199,0,0,Dmm,0,0,74,59.2,37.186,BEAUTY & HYGIENE,FRAGRANCES & DEOS,125
Pepsodent 150 g,,89010308620,,,,PLU001,89,97,95,95,95,95,150 grm,7,0,0,0,CGST + SGST,0,1,1,0,665,0,0,,2,2.062,6,6.742,6.316,Miscellaneous,Miscellaneous,623
AYUSH Tooth Paste 50g,,8901030728303,,,,PLU001,15.41,20,20,19.5,19.5,20,50 grm,3,0,0,0,CGST + SGST,0,1,1,0,60,0,0,,0,0,4.59,29.786,22.95,Miscellaneous,Miscellaneous,46.23
PARK AVENUE VOYAGE 150ml,,8901277016997,,,,PLU001,153,240,220,220,220,220,150 ml,2,0,0,0,CGST + SGST,0,1,1,0,440,0,0,,20,8.333,67,43.791,30.455,Miscellaneous,Miscellaneous,306
DABAR RED  TOOTHPASTE 150g,,8901207027314,,,,PLU004,83,105,102,102,102,102,150 grm,4,0,0,0,CGST + SGST,0,1,1,0,408,0,0,,3,2.857,19,22.892,18.627,ORAL CARE,Miscellaneous,440.8
DABUR RED TOOTHPASTE 40G,,8901207041617,,,,PLU001,18.4,20,19.5,19.5,19.5,19.5,42 grm,1,0,0,0,CGST + SGST,0,1,1,0,19.5,0,0,,0.5,2.5,1.1,5.978,5.641,ORAL CARE,Miscellaneous,18.4
COLGATE 200G CDB ACTIVE SALT FGH GRM PRVNT DNTL PRBM+WIN EXCTNG HAMPER,COLGATE ACTIVE SALT EXCL HW,8901314308689,,,,PLU001,105,115,113,112.999,112.999,113,200 g,3,0,0,0,CGST + SGST,0,1,1,0,339,0,0,,2,1.739,8,7.619,7.08,BEAUTY & HYGIENE,ORAL CARE,315
Colgate Maxfresh 21g,,8901314592576,,,,PLU001,8.73,10,10,10,10,10,21 grm,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,1.27,14.548,12.7,ORAL CARE,Miscellaneous,-1.88
COLGATE 100 GM CDBOX SWARNA VEDSHAKTI COMPLETE AYURVEDIC PROTECTION,COLGATE SWARNA VEDSHAKTI,8901314308085,,,,PLU001,54.28,59,58,58,58,58,100 g,13,0,0,0,CGST + SGST,0,1,1,0,754,0,0,,1,1.695,3.72,6.853,6.414,BEAUTY & HYGIENE,ORAL CARE,705.64
COLGATE 100 GM CDBOX SWARNA VEDSHAKTI COMPLETE AYURVEDIC PROTECTION,COLGATE SWARNA VEDSHAKTI,8901314308085,,,,PLU002,54.28,70,68,68,68,68,100 g,-5,0,0,0,CGST + SGST,0,1,1,0,-340,0,0,,2,2.857,13.72,25.276,20.176,BEAUTY & HYGIENE,ORAL CARE,-300
COLGATE 150G CDB MAX FRESH INTENSE CLNG WITH CLING CRYSTALS SPICY FRS,COLGATE MAXFRSH SPICY FRSH RED,8901314309914,,,,PLU001,95,110,108,108,108,108,150 g,-4,0,0,0,CGST + SGST,0,1,1,0,-432,0,0,,2,1.818,13,13.684,12.037,BEAUTY & HYGIENE,ORAL CARE,-380
colgate maxfresh 81g,,8901314624888,,,,PLU001,56.12,61,60,59.9996,59.9996,60,81 grm,2,0,0,0,CGST + SGST,0,1,1,0,120,0,0,,1,1.639,3.88,6.914,6.467,ORAL CARE,Miscellaneous,112.24
COLGATE 100 GM CDB DTL CRM STRONG TTH WITH AMINO SHAKTI NEW BEST EVER,COLGATE DENTALCREAM,8901314010520,,,,PLU002,57.96,66,65,65,65,65,100 g,1,0,0,0,CGST + SGST,0,1,1,0,65,0,0,,1,1.515,7.04,12.146,10.831,BEAUTY & HYGIENE,ORAL CARE,57.96
colgate strongteeth 150g,,8901314684714,,,,PLU002,77.37,88,87,87,87,87,150 grm,4,0,0,0,CGST + SGST,0,1,1,0,348,0,0,,1,1.136,9.63,12.447,11.069,ORAL CARE,Miscellaneous,324.56
COLGATE 2*100 G CDB VISIBLE WHITE 1 SHADE WHITER TEETH IN 1 WK SAVE 18,COLGATE VISIBLE WHITE,8901314078216,,,,PLU001,202.4,220,217,217,217,217,200 g,1,0,0,0,CGST + SGST,0,1,1,0,217,0,0,,3,1.364,14.6,7.213,6.728,BEAUTY & HYGIENE,ORAL CARE,202.4
ayush leaver rocksalt toothpaste 80g,,8901030711343,,,,PLU001,42,47,46,45.9989,45.9989,46,80 grm,4,0,0,0,CGST + SGST,0,1,1,0,184,0,0,,1,2.128,4,9.524,8.696,ORAL CARE,Miscellaneous,168
ayush leaver rocksalt toothpaste 80g,,8901030711343,,,,PLU002,42,55,53,53,53,53,80 grm,-2,0,0,0,CGST + SGST,0,1,1,0,-106,0,0,,2,3.636,11,26.19,20.755,ORAL CARE,Miscellaneous,-90
Ayush anticlove toothpaste 80g,,8901030711350,,,,PLU002,43.24,50,50,48.935,48.935,50,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,50,0,0,,0,0,6.76,15.634,13.52,ORAL CARE,Miscellaneous,38.52
Danthkanti naturaltoothpaste 200g,,8904109450327,,,,PLU001,87.4,95,94,94,94,94,200 grm,4,0,0,0,CGST + SGST,0,1,1,0,376,0,0,,1,1.053,6.6,7.551,7.021,ORAL CARE,Miscellaneous,349.6
Pepsodent 2in1 fights germs toothpaste 150g,,8901030862090,,,,PLU001,89.24,97,95,95,95,95,150 grm,-3,0,0,0,CGST + SGST,0,1,1,0,-285,0,0,,2,2.062,5.76,6.455,6.063,ORAL CARE,Miscellaneous,-267.72
Pepsodent 2in1 fightgerms toothpaste 80g,,8901030891670,,,,PLU001,47.84,52,51,51,51,51,80 grm,16,0,0,0,CGST + SGST,0,1,1,0,816,0,0,,1,1.923,3.16,6.605,6.196,ORAL CARE,Miscellaneous,765.44
Pepsodent antigerm formula 150*2g,,8901030843891,,,,PLU002,126.96,148,140,140,140,140,150 grm,1,0,0,0,CGST + SGST,0,1,1,0,140,0,0,,8,5.405,13.04,10.271,9.314,ORAL CARE,Miscellaneous,120
Pepsodent Germi checkbtoothpaste 200g,,8901030837982,,,,PLU003,86.48,101,100,99.9294,99.9294,100,200 grm,3,0,0,0,CGST + SGST,0,1,1,0,300,0,0,,1,0.99,13.52,15.634,13.52,ORAL CARE,Miscellaneous,259.44
Pepsodent Germicheck toothpaste 100g,,8901030837968,,,,PLU003,47.84,58,57,56.8864,56.8864,57,100 grm,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.724,9.16,19.147,16.07,ORAL CARE,Miscellaneous,1.16
Closeup triplefresh toothpaste 150*2g,,8901030820168,,,,PLU001,150.88,164,161,160.9988,160.9988,161,150 grm,1,0,0,0,CGST + SGST,0,1,1,0,161,0,0,,3,1.829,10.12,6.707,6.286,ORAL CARE,Miscellaneous,150.88
Closeup tripleformula 150g,,8901030894213,,,,PLU003,96,110,105,105,105,105,150 grm,33,0,0,0,CGST + SGST,0,1,1,0,3465,0,0,,5,4.545,9,9.375,8.571,ORAL CARE,Miscellaneous,3159
Closeup tripleformula 90g,,8901030894183,,,,PLU002,48,54,52,52,52,52,90 grm,1,0,0,0,CGST + SGST,0,1,1,0,52,0,0,,2,3.704,4,8.333,7.692,ORAL CARE,Miscellaneous,101
SENSODYNE 75 GM CDB FRESH MINT WITH FLORIDE,SENSODYNE FRESH MINT,8901571004096,,,,PLU002,108,125,122,122,122,122,75 g,35,0,0,0,CGST + SGST,0,1,1,0,4270,0,0,,3,2.4,14,12.963,11.475,BEAUTY & HYGIENE,ORAL CARE,3794.8
SENSODYNE 40 GM CDBOX FRESH MINT WITH FLUORIDE,SENSODYNE FRESH MINT,8901571004102,,,,PLU002,70,80,79,78.664,78.664,79,40 g,8,0,0,0,CGST + SGST,0,1,1,0,632,0,0,,1,1.25,9,12.857,11.392,BEAUTY & HYGIENE,ORAL CARE,500.8
SENSODYNE 75 GM CDB FRESH GEL WITH FLUORIDE,SENSODYNE FRESH GEL,8901571004614,,,,PLU002,103,125,122,122,122,122,75 g,1,0,0,0,CGST + SGST,0,1,1,0,122,0,0,,3,2.4,19,18.447,15.574,BEAUTY & HYGIENE,ORAL CARE,93
Sensodyne repair&protect toothpaste100g,,8901571010844,,,,PLU003,200,220,215,215,215,215,100 grm,3,0,0,0,CGST + SGST,0,1,1,0,645,0,0,,5,2.273,15,7.5,6.977,Miscellaneous,Miscellaneous,565
SENSODYNE 40G CDBOX RAPID RELIEF LONG LASTING PROTECTION WITH FLUORIDE,SENSODYNE RAPID RELIEF,8901571004829,,,,PLU002,82.3,100,98,98,98,98,40 g,10,0,0,0,CGST + SGST,0,1,1,0,980,0,0,,2,2,15.7,19.077,16.02,BEAUTY & HYGIENE,ORAL CARE,808.9
SENSODYNE 80 GM CDBOX RAPID RELIEF + 1 NO BLSTR TBRUSH FREE WRTH RS 50,SENSODYNE RAPID RELIEF,8901571004836,,,,PLU002,146,180,175,175,175,175,80 g,-3,0,0,0,CGST + SGST,0,1,1,0,-525,0,0,,5,2.778,29,19.863,16.571,BEAUTY & HYGIENE,ORAL CARE,-438
Meswak toothgumcare toothpaste 200g,,8901207033377,,,,PLU001,99.36,108,106,106,106,106,200 grm,3,0,0,0,CGST + SGST,0,1,1,0,318,0,0,,2,1.852,6.64,6.683,6.264,Miscellaneous,Miscellaneous,298.08
Meswak toothgumcare toothpaste 200g,,8901207033377,,,,PLU002,99.36,112,110,109.928,109.928,110,200 grm,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,1.786,10.64,10.709,9.673,Miscellaneous,Miscellaneous,0
VICCO 100 GM CDBOX VAJRADANTI AYURVDC MEDICIN 4 GUMS & TEETH+RS 5 OFF,VICCO VAJRADANTI,8901288011004,,,,PLU002,70,77,75,75,75,75,100 g,3,0,0,0,CGST + SGST,0,1,1,0,225,0,0,,2,2.597,5,7.143,6.667,BEAUTY & HYGIENE,ORAL CARE,210
VICCO 200 GM CDBOX VAJRADANTI AYURVDC MEDICN 18 HERBS & BARKS+RS10 OFF,VICCO VAJRADANTI,8901288012001,,,,PLU001,110.4,120,118,117.996,117.996,118,200 g,3,0,0,0,CGST + SGST,0,1,1,0,354,0,0,,2,1.667,7.6,6.884,6.441,BEAUTY & HYGIENE,ORAL CARE,331.2
Anchor allround toothpaste 209g,,8904000901539,,,,PLU001,73.6,80,79,79,79,79,200 grm,1,0,0,0,CGST + SGST,0,1,1,0,79,0,0,,1,1.25,5.4,7.337,6.835,ORAL CARE,Miscellaneous,73.6
HIMALAYA 80GM CDB HERBAL SPARKLING WHITE GUM EXPT WTH PLANT ENZYME TNY,HIMALAYA SPARKLING WHITE,8901138836115,,,,PLU001,54,60,59,58.998,58.998,59,80 g,6,0,0,0,CGST + SGST,0,1,1,0,354,0,0,,1,1.667,5,9.259,8.475,BEAUTY & HYGIENE,ORAL CARE,324
Anchor Allround protection toothpaste 100g,,8904000905889,,,,PLU001,49.68,54,53,53,53,53,100 grm,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.852,3.32,6.683,6.264,Miscellaneous,Miscellaneous,-4.2632564145606E-14
Anchor coolingfreshness toothpaste 150g,,8904000911156,,,,PLU001,73.6,80,79,79,79,79,150 grm,5,0,0,0,CGST + SGST,0,1,1,0,395,0,0,,1,1.25,5.4,7.337,6.835,ORAL CARE,Miscellaneous,368
Himalaya Sensitive toothpaste PHYTO 80g,,8901138836078,,,,PLU001,105.8,115,113,112.999,112.999,113,80 grm,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,1.739,7.2,6.805,6.372,ORAL CARE,Miscellaneous,-2.8421709430404E-14
Himalaya Activefresh toothpaste 80g,,8901138836061,,,,PLU001,46,50,49,49,49,49,80 grm,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,2,3,6.522,6.122,ORAL CARE,Miscellaneous,0
GET REAL COCONUT OIL 250 ML,,8904132918351,,,,PLU001,75,150,130,130,130,130,250 ml,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,20,13.333,55,73.333,42.308,Beauty & Hygiene,Hair Oil,0
PARACHUTE [BRNDED] 100 ML PLBOT 100% PURE COCONUT OIL+RS 5,PARACHUTE,89002940,,,,PLU007,32.45,37,36,36,36,36,100 ml,16,0,0,0,CGST + SGST,0,1,1,0,576,0,0,,1,2.703,3.55,10.94,9.861,BEAUTY & HYGIENE,HAIR CARE,480.2
PARACHUTE ALOE VERA 75 ML,,8901088080262,,,,PLU002,33,42,41,40.95,40.95,41,75 ml,6,0,0,0,CGST + SGST,0,1,1,0,246,0,0,,1,2.381,8,24.242,19.512,Beauty & Hygiene,Hair Oil,198
DABUR GOLD COCONUT OIL +HONEY 20 G,,8901207039485,,,,PLU001,67.16,73,71,70.9998,70.9998,71,175 ml,2,0,0,0,CGST + SGST,0,1,1,0,142,0,0,,2,2.74,3.84,5.718,5.408,Beauty & Hygiene,Hair Oil,134.32
MEERA [BRNDED] 500 ML PLBOT 100% PURE CCNT OL TRPLE FLTRD+RS19 OFF,MEERA,8902979024440,,,,PLU001,179,208,202,202,202,202,500 ml,2,0,0,0,CGST + SGST,0,1,1,0,404,0,0,,6,2.885,23,12.849,11.386,BEAUTY & HYGIENE,HAIR CARE,358
MEERA [BRNDED] 500 ML PLBOT 100% PURE CCNT OL TRPLE FLTRD+RS19 OFF,MEERA,8902979024440,,,,PLU002,179,180,180,176.544,176.544,180,500 ml,11,0,0,0,CGST + SGST,0,1,1,0,1980,0,0,,0,0,1,0.559,0.556,BEAUTY & HYGIENE,HAIR CARE,1714.24
MEERA HAIR OIL 250 ML,,8902979024433,,,,PLU002,82,95,92,92,92,92,250 ml,1,0,0,0,CGST + SGST,0,1,1,0,92,0,0,,3,3.158,10,12.195,10.87,Beauty & Hygiene,Hair Oil,82.6
PARACHUTE [BRNDED] 600 ML PLBOT 100% PURE COCONUT OIL+RS 25,PARACHUTE,8901088102872,,,,PLU004,198.63,233,230,229.1089,229.1089,230,600 ml,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,1.288,31.37,15.793,13.639,BEAUTY & HYGIENE,HAIR CARE,0
parachute coconutoil45.5g,,8901088213004,,,,PLU001,18,20,20,20,20,20,45.5 grm,11,0,0,0,CGST + SGST,0,1,1,0,220,0,0,,0,0,2,11.111,10,Beauty & Hygiene,Hair Oil,208.78
parachute jasmine hairoil 300ml,,8901088045681,,,,PLU001,115,125,123,123,123,123,300 ml,2,0,0,0,CGST + SGST,0,1,1,0,246,0,0,,2,1.6,8,6.957,6.504,Beauty & Hygiene,Hair Oil,230
Vcare herbal hairoil 100ml,,8904089101608,,,,PLU001,240,276,270,270,270,270,100 ml,2,0,0,0,CGST + SGST,0,1,1,0,540,0,0,,6,2.174,30,12.5,11.111,Beauty & Hygiene,Hair Oil,493.92
indulekha,,8901030793516,,,,PLU001,83,99,95,95,95,95,22 ml,2,0,0,0,CGST + SGST,0,1,1,0,190,0,0,,4,4.04,12,14.458,12.632,Beauty & Hygiene,Hair Oil,166
INDULEKHA [RIGID] 50 ML CDBOX BRINGHA OIL,INDULEKHA,8901030586088,,,,PLU001,183.38,234,230,230,230,230,50 ml,9,0,0,0,CGST + SGST,0,1,1,0,2070,0,0,,4,1.709,46.62,25.423,20.27,Beauty & Hygiene,Hair Oil,1650.42
Parachute jasmine hairoil 190ml,,8901088045674,,,,PLU001,73.6,80,79,79,79,79,190 ml,2,0,0,0,CGST + SGST,0,1,1,0,158,0,0,,1,1.25,5.4,7.337,6.835,Beauty & Hygiene,Hair Oil,147.2
Dabour Amla hairoil 180ml,,8901207038389,,,,PLU002,78.3,95,93,92.891,92.891,93,180 ml,9,0,0,0,CGST + SGST,0,1,1,0,837,0,0,,2,2.105,14.7,18.774,15.806,Beauty & Hygiene,Hair Oil,700.2
Dabour amla hairoil 275ml,,8901207038396,,,,PLU002,118.35,145,140,140,140,140,275 ml,8,0,0,0,CGST + SGST,0,1,1,0,1120,0,0,,5,3.448,21.65,18.293,15.464,Beauty & Hygiene,Hair Oil,946.8
Dabour Amla hairoil 45ml,,89009499,,,,PLU001,18.12,20,20,20,20,20,45 ml,8,0,0,0,CGST + SGST,0,1,1,0,160,0,0,,0,0,1.88,10.375,9.4,Beauty & Hygiene,Hair Oil,144.96
VASMOL 100 ML PBT BLACK HROL HRBS PRVN FRYNG+FR HIMALAYA NEEM 15M FCWS,VASMOL,8901247573260,,,,PLU001,40,45,45,44.001,44.001,45,100 ml,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,5,12.5,11.111,Beauty & Hygiene,Hair Oil,0
VASMOL [RIGID] 200 ML PLBOT BLACK HAIR OIL WITH HERBS PREVENT FRYING,VASMOL,8901247573277,,,,PLU001,78.2,85,83,83,83,83,200 ml,1,0,0,0,CGST + SGST,0,1,1,0,83,0,0,,2,2.353,4.8,6.138,5.783,Beauty & Hygiene,Hair Oil,78.2
STREAX [RIGID] 100 ML PLBOT VITALIZED WALNUT OIL HAIR SERUM SILKY+RS21,STREAX,8901247573963,,,,PLU001,169.49,240,235,235,235,235,100 ml,3,0,0,0,CGST + SGST,0,1,1,0,705,0,0,,5,2.083,65.51,38.651,27.877,Beauty & Hygiene,Hair Oil,559.78
INDULEKHA 200 ML PLBOT BRINGHA HAIR CLEANSER FOR HAIR FALL,INDULEKHA,8901030670688,,,,PLU002,215.28,243,240,238.8447,238.8447,240,200 ml,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,1.235,24.72,11.483,10.3,Beauty & Hygiene,Hair Oil,0
INDULEKHA 100 ML PLBOT BRINGHA HAIR CLEANSER FOR HAIR FALL,INDULEKHA,8901030677106,,,,PLU001,120,135,132,132,132,132,100 ml,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,2.222,12,10,9.091,Beauty & Hygiene,Hair Oil,-3
